text,start,duration
here why could you imagine you have sex,1566.96,4.319
with someone and then you're like hold,1570.14,2.84
on honey,1571.279,4.02
gotta get my money back I've gotta I've,1572.98,4.62
got to pay for this room real quick,1575.299,5.101
it's just it's slot machine so obviously,1577.6,4.12
at some point during a stay you're going,1580.4,2.94
to be wanting to go to the shower is,1581.72,3.12
that after you've you've won all the,1583.34,3.06
money on the slot machine yeah you've,1584.84,2.939
come I should have washed my hands,1586.4,3.06
actually it's kind of gross all right,1587.779,4.801
that bath looks extremely large I mean,1589.46,5.16
it looks like a blood bar look at how,1592.58,3.479
Reds it is,1594.62,3.96
is this weird this is weird wait yeah,1596.059,4.801
this has room for three people which,1598.58,5.219
people Progressive pretty nice nice to,1600.86,4.919
see this is huge this is a massive,1603.799,4.561
shower area this is really nice I can,1605.779,4.561
[ __ ] see there then look you can you,1608.36,4.02
will you will I'm gonna let you back in,1610.34,3.48
my neighborhood market tonight good,1612.38,2.36
night,1613.82,3.66
all right get some get some shot on it,1614.74,5.039
yeah thanks man thank god,1617.48,6.299
oh no yeah I mean honestly I'm not gonna,1619.779,5.921
lie it's kind of disappointing where's,1623.779,4.5
the Jeff Goldblum blow up done after all,1625.7,4.14
the hype with the entrance and how,1628.279,3.481
insane that was coming to this feels,1629.84,4.14
kind of tame almost in comparison can't,1631.76,4.98
leave my wig here no can I put it in the,1633.98,4.799
trash so we're checking out right we,1636.74,3.419
have two buttons here one's yorking,1638.779,4.14
coconut bottom bottle which tells us how,1640.159,7.461
much we owe and we owe an astonishing,1642.919,8.341
5350 bit pricey for the uh the 45,1647.62,5.559
minutes of fun we've had here but this,1651.26,3.539
is something I've never seen before,1653.179,4.201
we've got to pay the fee usually they,1654.799,4.321
have like a like a machine almost like a,1657.38,4.2
vending machine right this is a vacuum,1659.12,5.159
tube you put the money in here press the,1661.58,5.16
button it shoots off like a something,1664.279,5.581
out of a 1980s movie and that's how this,1666.74,6.179
works so right now as in every love,1669.86,4.559
Hotel you get locked in the room right,1672.919,3.781
until you pay it's quite claustrophobic,1674.419,4.981
and scary so providing the vacuum tube,1676.7,5.52
goes all right to the cashier person the,1679.4,4.2
door should like unlock at some point,1682.22,3.54
have you ever seen this before you seem,1683.6,4.8
like this is normal this is so old and,1685.76,5.039
Dusty I don't know all right give us the,1688.4,4.08
money we're getting the phone out of it,1690.799,4.98
look at that that's asbestos this is I,1692.48,5.34
can't believe this this is some badass,1695.779,3.541
technology is it just like Jurassic Park,1697.82,3.66
did they have this in Jurassic Park no,1699.32,6.14
no I didn't did that all right lift up,1701.48,7.319
put the vacuum tube in close the vacuum,1705.46,5.079
shoot you ready you ready for the money,1708.799,6.0
shot here we go three two one,1710.539,7.701
oh no stop,1714.799,3.441
and we've just prayed for the love Hotel,1718.46,3.36
you know I first heard about this love,1720.08,3.599
Hotel it must have been six or seven,1721.82,3.78
years ago when I did my first video on,1723.679,3.24
love hotels and I've always wanted to,1725.6,3.36
come here let's face it I'm fairly,1726.919,4.62
disappointing I mean you can't lie the,1728.96,3.959
animatronics in the front are pretty,1731.539,3.781
cool but that's kind of weird yeah yeah,1732.919,3.901
all the stuff coming in was pretty epic,1735.32,3.18
but the room itself was pretty standard,1736.82,3.18
and a little bit underwhelming a bit,1738.5,3.6
like the the recent Jurassic Park movies,1740.0,6.539
themselves all showing no no do you,1742.1,5.819
recognize people come here and reenact,1746.539,3.601
things from Jurassic Park clever girl,1747.919,4.081
trying to see the place for staying,1750.14,3.419
tonight in Becca over on the crystal,1752.0,2.94
ball channel it's far more impressive so,1753.559,2.701
go and check that out but thank you guys,1754.94,3.54
for joining us on this wacky weekend it,1756.26,4.74
really was working [ __ ] show we saw Maui,1758.48,4.319
heads we saw abandoned towns we tasted,1761.0,3.84
fire chicken Miyazaki beef you went to a,1762.799,3.661
Gorge I nearly drowned in a waterfall,1764.84,3.42
and we've came to the biggest hot spring,1766.46,3.66
in all of Japan it really was an epic,1768.26,3.659
road trip thank you guys and thank you,1770.12,3.96
Connor for the wacky weekend I'm on a,1771.919,3.541
wacky weekend but go and check out our,1774.08,3.42
video on Chris abroad we're off for some,1775.46,3.959
special time now actually I'm just gonna,1777.5,3.86
leave Conor here with his wig,1779.419,4.021
you just keep filming I'm just gonna,1781.36,3.88
quickly where's the where's the wig go,1783.44,5.339
where are you going where are you going,1785.24,6.799
come back get it,1788.779,3.26
oh it's so dark and now we have drapes,1792.5,3.68
oh God,1795.08,3.979
[Music],1796.18,5.26
that was such a goddaughter [ __ ] off,1799.059,4.84
I've got lots of things in my mind right,1801.44,4.68
now like what like why am I at the,1803.899,4.441
[ __ ] dinosaur Hotel this is your,1806.12,3.14
father,1808.34,3.54
for over 600 years the Easter Island,1809.26,8.76
heads of your mum the more I had shut up,1811.88,6.14
